 # Source Time function
 # source type CMT
 # scaling scalar moment (M0) =    2.26056663E+25
 # format: #time(s)   #stf   #scalar_moment
   93.299399103328838        1.00000000       2.26056663E+25
   93.383927538163178        1.00000000       2.26056663E+25
   93.468455972997518        1.00000000       2.26056663E+25
   93.552984407831858        1.00000000       2.26056663E+25
   93.637512842666197        1.00000000       2.26056663E+25
   93.722041277500537        1.00000000       2.26056663E+25
   93.806569712334863        1.00000000       2.26056663E+25
   93.891098147169203        1.00000000       2.26056663E+25
   93.975626582003542        1.00000000       2.26056663E+25
   94.060155016837882        1.00000000       2.26056663E+25
   94.144683451672222        1.00000000       2.26056663E+25
   94.229211886506562        1.00000000       2.26056663E+25
   94.313740321340902        1.00000000       2.26056663E+25
   94.398268756175227        1.00000000       2.26056663E+25
   94.482797191009567        1.00000000       2.26056663E+25
   94.567325625843907        1.00000000       2.26056663E+25
   94.651854060678247        1.00000000       2.26056663E+25
   94.736382495512586        1.00000000       2.26056663E+25
   94.820910930346926        1.00000000       2.26056663E+25
   94.905439365181266        1.00000000       2.26056663E+25
   94.989967800015592        1.00000000       2.26056663E+25
   95.074496234849931        1.00000000       2.26056663E+25
   95.159024669684271        1.00000000       2.26056663E+25
   95.243553104518611        1.00000000       2.26056663E+25
   95.328081539352951        1.00000000       2.26056663E+25
   95.412609974187291        1.00000000       2.26056663E+25
   95.497138409021630        1.00000000       2.26056663E+25
   95.581666843855970        1.00000000       2.26056663E+25
   95.666195278690296        1.00000000       2.26056663E+25
   95.750723713524636        1.00000000       2.26056663E+25
   95.835252148358975        1.00000000       2.26056663E+25
   95.919780583193315        1.00000000       2.26056663E+25
   96.004309018027655        1.00000000       2.26056663E+25
   96.088837452861995        1.00000000       2.26056663E+25
   96.173365887696335        1.00000000       2.26056663E+25
   96.257894322530660        1.00000000       2.26056663E+25
   96.342422757365000        1.00000000       2.26056663E+25
   96.426951192199340        1.00000000       2.26056663E+25
   96.511479627033680        1.00000000       2.26056663E+25
   96.596008061868019        1.00000000       2.26056663E+25
   96.680536496702359        1.00000000       2.26056663E+25
   96.765064931536699        1.00000000       2.26056663E+25
   96.849593366371025        1.00000000       2.26056663E+25
   96.934121801205364        1.00000000       2.26056663E+25
   97.018650236039704        1.00000000       2.26056663E+25
